method,balanced_accuracy_mean,balanced_accuracy_se,macro_f1_mean,macro_f1_se,n_folds
Adaptive_Subspace_Fusion,0.875,0.03952847075210474,0.8732904659839644,0.04018108330303391,5
Fused_Grassmann_GSMOTE,0.875,0.03952847075210474,0.8732904659839644,0.04018108330303391,5
Euclidean_RBF_GSMOTE,0.8625,0.036443449342783124,0.8604426601949822,0.03699573277529141,5
PLS_DA,0.825,0.03061862178478972,0.8224968151903136,0.031248912058411394,5
Balanced_RandomForest,0.8,0.049999999999999996,0.7989169000933707,0.050084799511763464,5
Balanced_LinearSVM,0.8,0.012499999999999999,0.7973987759746274,0.012895913936796219,5
Balanced_LogReg,0.8,0.023385358667337132,0.795578898225957,0.02565258543045974,5
SMOTE_LogReg,0.8,0.023385358667337132,0.795578898225957,0.02565258543045974,5
