method,TN,FP,FN,TP
Adaptive_Subspace_Fusion,36,4,6,34
Fused_Grassmann_GSMOTE,36,4,6,34
Euclidean_RBF_GSMOTE,35,5,6,34
Balanced_LogReg,32,8,8,32
Balanced_LinearSVM,32,8,8,32
SMOTE_LogReg,32,8,8,32
Balanced_RandomForest,32,8,8,32
PLS_DA,34,6,8,32
