method,balanced_accuracy_mean,balanced_accuracy_se,macro_f1_mean,macro_f1_se,n_folds
Euclidean_RBF_GSMOTE,0.8625,0.041457809879442496,0.8595463016515648,0.04235476600490527,5
Adaptive_Subspace_Fusion,0.85,0.04238956239453292,0.8472960682248608,0.04314500811975592,5
Fused_Grassmann_GSMOTE,0.85,0.04238956239453292,0.8472960682248608,0.04314500811975592,5
Balanced_RandomForest,0.8125,0.04419417382415922,0.8108683473389355,0.04447701025043973,5
PLS_DA,0.8125,0.03952847075210474,0.8105453679447487,0.03970221298852743,5
Balanced_LogReg,0.775,0.04238956239453292,0.7701532110820037,0.04266780115786655,5
SMOTE_LogReg,0.775,0.04238956239453292,0.7701532110820037,0.04266780115786655,5
Balanced_LinearSVM,0.7125,0.01530931089239486,0.7035732619633549,0.014992871539008253,5
