study,cohort,index,w,ba,f1
partition,UCI-489,7,0.1,0.85,0.8490102707749767
partition,UCI-489,7,0.2,0.85,0.8490102707749767
partition,UCI-489,7,0.3,0.8625,0.8613632119514472
partition,UCI-489,7,0.4,0.875,0.8739122315592903
partition,UCI-489,7,0.5,0.875,0.8739122315592903
partition,UCI-489,7,0.6,0.875,0.8739122315592903
partition,UCI-489,7,0.7,0.875,0.8739122315592903
partition,UCI-489,7,0.8,0.875,0.8739122315592903
partition,UCI-489,7,0.9,0.8875,0.8855406994106685
partition,UCI-489,7,1.0,0.675,0.6532890501311555
partition,UCI-489,8,0.0,0.85,0.849407096171802
partition,UCI-489,8,0.1,0.85,0.849407096171802
partition,UCI-489,8,0.2,0.85,0.849407096171802
partition,UCI-489,8,0.3,0.85,0.849407096171802
partition,UCI-489,8,0.4,0.85,0.849407096171802
partition,UCI-489,8,0.5,0.8625,0.8620541549953316
partition,UCI-489,8,0.6,0.8625,0.8620541549953316
partition,UCI-489,8,0.7,0.8625,0.8620541549953316
partition,UCI-489,8,0.8,0.8375,0.8366573295985061
partition,UCI-489,8,0.9,0.8,0.7983885051996508
partition,UCI-489,8,1.0,0.6125,0.5994792410891483
partition,UCI-489,9,0.0,0.8375,0.8347470486170178
partition,UCI-489,9,0.1,0.8375,0.8347470486170178
partition,UCI-489,9,0.2,0.8375,0.8347470486170178
partition,UCI-489,9,0.3,0.8375,0.8347470486170178
partition,UCI-489,9,0.4,0.8375,0.8347470486170178
partition,UCI-489,9,0.5,0.85,0.8478936405871391
partition,UCI-489,9,0.6,0.8625,0.8613632119514472
partition,UCI-489,9,0.7,0.8625,0.8613632119514472
partition,UCI-489,9,0.8,0.8625,0.8613632119514472
partition,UCI-489,9,0.9,0.8125,0.8113632119514472
partition,UCI-489,9,1.0,0.625,0.6074280621339445
partition,UCI-489,10,0.0,0.8625,0.8613632119514472
partition,UCI-489,10,0.1,0.85,0.8490102707749767
partition,UCI-489,10,0.2,0.8375,0.8366573295985061
partition,UCI-489,10,0.3,0.8375,0.8366573295985061
partition,UCI-489,10,0.4,0.85,0.8490102707749767
partition,UCI-489,10,0.5,0.85,0.8490102707749767
partition,UCI-489,10,0.6,0.85,0.8490102707749767
partition,UCI-489,10,0.7,0.8625,0.862156862745098
partition,UCI-489,10,0.8,0.85,0.8490102707749767
partition,UCI-489,10,0.9,0.825,0.8237161531279178
partition,UCI-489,10,1.0,0.6375,0.6216262031741909
partition,UCI-489,11,0.0,0.825,0.819359560288353
partition,UCI-489,11,0.1,0.825,0.819359560288353
partition,UCI-489,11,0.2,0.8125,0.8070066191118823
partition,UCI-489,11,0.3,0.825,0.819359560288353
partition,UCI-489,11,0.4,0.825,0.819359560288353
partition,UCI-489,11,0.5,0.8375,0.8316097937150569
partition,UCI-489,11,0.6,0.8375,0.8316097937150569
partition,UCI-489,11,0.7,0.8625,0.8589245360762388
partition,UCI-489,11,0.8,0.85,0.8460767302872565
partition,UCI-489,11,0.9,0.825,0.819359560288353
partition,UCI-489,11,1.0,0.6875,0.6704517120306595
partition,UCI-489,12,0.0,0.8375,0.8367600373482726
partition,UCI-489,12,0.1,0.8375,0.8367600373482726
partition,UCI-489,12,0.2,0.8375,0.8367600373482726
partition,UCI-489,12,0.3,0.8375,0.8366619981325863
partition,UCI-489,12,0.4,0.8375,0.8366619981325863
partition,UCI-489,12,0.5,0.8375,0.8369561157796452
partition,UCI-489,12,0.6,0.8375,0.8369561157796452
partition,UCI-489,12,0.7,0.85,0.8494070961718021
partition,UCI-489,12,0.8,0.85,0.8493090569561158
partition,UCI-489,12,0.9,0.8375,0.8354426601949821
partition,UCI-489,12,1.0,0.675,0.6602443170864223
partition,UCI-489,13,0.0,0.85,0.8477909328373725
partition,UCI-489,13,0.1,0.85,0.8477909328373725
partition,UCI-489,13,0.2,0.85,0.8477909328373725
partition,UCI-489,13,0.3,0.85,0.8477909328373725
partition,UCI-489,13,0.4,0.85,0.8477909328373725
partition,UCI-489,13,0.5,0.85,0.8477909328373725
partition,UCI-489,13,0.6,0.875,0.8738095238095237
partition,UCI-489,13,0.7,0.875,0.8738095238095237
partition,UCI-489,13,0.8,0.875,0.8734865444153369
partition,UCI-489,13,0.9,0.85,0.8485845836310233
partition,UCI-489,13,1.0,0.6875,0.6753688141923437
partition,UCI-489,14,0.0,0.8625,0.8620541549953314
partition,UCI-489,14,0.1,0.85,0.8496031746031747
partition,UCI-489,14,0.2,0.85,0.8496031746031747
partition,UCI-489,14,0.3,0.85,0.8496031746031747
partition,UCI-489,14,0.4,0.85,0.8496031746031747
partition,UCI-489,14,0.5,0.85,0.8496031746031747
partition,UCI-489,14,0.6,0.85,0.8496031746031747
partition,UCI-489,14,0.7,0.85,0.8496031746031747
partition,UCI-489,14,0.8,0.8375,0.8368580765639588
partition,UCI-489,14,0.9,0.8,0.7997058823529412
partition,UCI-489,14,1.0,0.65,0.632049062049062
partition,UCI-489,15,0.0,0.85,0.8482904659839644
partition,UCI-489,15,0.1,0.85,0.8482904659839644
partition,UCI-489,15,0.2,0.85,0.8482904659839644
partition,UCI-489,15,0.3,0.85,0.8482904659839644
partition,UCI-489,15,0.4,0.8625,0.8609375248074939
partition,UCI-489,15,0.5,0.8625,0.8609375248074939
partition,UCI-489,15,0.6,0.8625,0.8609375248074939
partition,UCI-489,15,0.7,0.8625,0.8609375248074939
partition,UCI-489,15,0.8,0.8625,0.8609375248074939
partition,UCI-489,15,0.9,0.8375,0.835143874013843
partition,UCI-489,15,1.0,0.7,0.6908906882591094
partition,UCI-489,16,0.0,0.8625,0.8620541549953314
partition,UCI-489,16,0.1,0.8625,0.8620541549953314
partition,UCI-489,16,0.2,0.8625,0.8620541549953314
partition,UCI-489,16,0.3,0.8625,0.8620541549953314
partition,UCI-489,16,0.4,0.8625,0.8620541549953314
partition,UCI-489,16,0.5,0.8625,0.8620541549953314
partition,UCI-489,16,0.6,0.8625,0.8620541549953314
partition,UCI-489,16,0.7,0.875,0.8749019607843138
partition,UCI-489,16,0.8,0.8625,0.8622549019607844
partition,UCI-489,16,0.9,0.8625,0.8616573295985059
partition,UCI-489,16,1.0,0.6875,0.6822408963585435
partition,UCI-489,17,0.0,0.825,0.8232166199813259
partition,UCI-489,17,0.1,0.825,0.8240102707749767
partition,UCI-489,17,0.2,0.8375,0.8363632119514472
partition,UCI-489,17,0.3,0.8375,0.8363632119514472
partition,UCI-489,17,0.4,0.825,0.8240102707749767
partition,UCI-489,17,0.5,0.8375,0.837156862745098
partition,UCI-489,17,0.6,0.85,0.8494070961718021
partition,UCI-489,17,0.7,0.8375,0.8362605042016806
