fold,family,n_columns,baseline_f1,mean_decrease,sd_over_draws,draws
1,Demographics,1,0.7102272727272727,0.0,0.0,20
1,IMF/EMD,6,0.7102272727272727,0.002001663459996794,0.008951711129260525,20
1,MFCC,84,0.7102272727272727,0.04156196012583684,0.04135408256788898,20
1,TQWT,432,0.7102272727272727,0.1381953689483923,0.06712640485639343,20
1,Vocal/time-frequency,48,0.7102272727272727,0.006092975764181779,0.02165976857211953,20
1,Wavelet,182,0.7102272727272727,-0.00037794525837683834,0.037833077691870304,20
2,Demographics,1,0.6912493120528342,0.0,0.0,20
2,IMF/EMD,6,0.6912493120528342,0.0,0.0,20
2,MFCC,84,0.6912493120528342,0.023525241619673187,0.04092808699342768,20
2,TQWT,432,0.6912493120528342,0.07487221193973036,0.057027025751711216,20
2,Vocal/time-frequency,48,0.6912493120528342,0.011257828505259526,0.026819246567743652,20
2,Wavelet,182,0.6912493120528342,-0.005318587220607301,0.04016934911277984,20
3,Demographics,1,0.72875226039783,0.0,0.0,20
3,IMF/EMD,6,0.72875226039783,0.029601113954600543,0.0343032444007653,20
3,MFCC,84,0.72875226039783,0.053334438643068624,0.04391824891670533,20
3,TQWT,432,0.72875226039783,0.1711316270776711,0.0388985747339517,20
3,Vocal/time-frequency,48,0.72875226039783,-0.009618031214654026,0.03955002587175531,20
3,Wavelet,182,0.72875226039783,-0.0028137771549772315,0.036714956036699595,20
4,Demographics,1,0.8666666666666667,0.0,0.0,20
4,IMF/EMD,6,0.8666666666666667,-0.01195360703922344,0.015244073829131313,20
4,MFCC,84,0.8666666666666667,0.07348575211400835,0.03290555767939391,20
4,TQWT,432,0.8666666666666667,0.17274503310665973,0.09192243800874467,20
4,Vocal/time-frequency,48,0.8666666666666667,-0.010056058282853636,0.022918523780306732,20
4,Wavelet,182,0.8666666666666667,0.030768369830013697,0.0282856305820775,20
5,Demographics,1,0.75,0.0,0.0,20
5,IMF/EMD,6,0.75,-0.0020180696701904864,0.011246419807425823,20
5,MFCC,84,0.75,0.03713355666799337,0.027968558181272307,20
5,TQWT,432,0.75,0.18627730307224438,0.08045858005156474,20
5,Vocal/time-frequency,48,0.75,-0.013285818713450298,0.01616450674148643,20
5,Wavelet,182,0.75,-0.015879101405417213,0.030367778474883738,20
