seed_tag,seed_formula,fused_ba,fused_f1,gsmote_rbf_ba,gsmote_rbf_f1,smote_rbf_ba,smote_rbf_f1
s00,(1000+0)*1000+fold,0.7465705584126636,0.756381020034478,0.7409855199328883,0.7363088996236555,0.7304482620272095,0.7240446317814739
s01,(1000+1)*1000+fold,0.7410110515373672,0.754544988277611,0.7497346536820221,0.7449862086284519,0.7332220884852465,0.7287102371312897
s02,(1000+2)*1000+fold,0.7436426304847357,0.7586357016255201,0.7567148119779699,0.7532589946800472,0.7198508224824014,0.7103272084299961
s03,(1000+3)*1000+fold,0.7305449173870227,0.7416571638136488,0.7362694678484153,0.7360435996583824,0.731029106029106,0.719760913233564
s04,(1000+4)*1000+fold,0.757239121712806,0.7731347876275413,0.7359959149432834,0.7310838751954135,0.7437712003501477,0.7338142114133943
s05,(1000+5)*1000+fold,0.7279133384396542,0.7369306914234451,0.7173988766094029,0.7173701383846312,0.7303771382718751,0.7248212702939212
s06,(1000+6)*1000+fold,0.72784221468432,0.736622244354867,0.7149925228872598,0.7097546983880536,0.7231945508261297,0.7121436709792874
s07,(1000+7)*1000+fold,0.7485611117190065,0.7608045778120601,0.7070977860451546,0.7000735375735376,0.7229693256009044,0.7175062384240466
s08,(1000+8)*1000+fold,0.7464994346573295,0.7563434672025799,0.7197569026516394,0.7185913097084293,0.7335184374658059,0.7234594575895945
s09,(1000+9)*1000+fold,0.722852609694715,0.733420591753925,0.7104898420687895,0.7116503797111026,0.7230404493562388,0.7186099406884533
s10,(1000+10)*1000+fold,0.7409399277820331,0.7531455899089838,0.7409855199328883,0.7351818119564066,0.7356512382828173,0.7275134481236594
s11,(1000+11)*1000+fold,0.7333187438450597,0.7482122790341466,0.7362694678484152,0.7354187270853938,0.7204207243680928,0.7084038815773595
s12,(1000+12)*1000+fold,0.7224851369588212,0.7373557985471895,0.7331281686544845,0.7386075358031832,0.7123718860560966,0.7025913737084932
s13,(1000+13)*1000+fold,0.7277710909289856,0.7382925185251412,0.7249489367910422,0.7261293054771316,0.730377138271875,0.7253961307357606
s14,(1000+14)*1000+fold,0.7598707006601744,0.7773297879723986,0.738698617645986,0.7353008300376722,0.7040276106065579,0.7009707500735379
s15,(1000+15)*1000+fold,0.7486322354743408,0.7611522437489711,0.7275914578546157,0.7260133353521961,0.7251139803771383,0.7157119258495317
s16,(1000+16)*1000+fold,0.7415098296677243,0.7534842934842936,0.7438906517853886,0.743053391053391,0.7328062880694459,0.7238927455261008
s17,(1000+17)*1000+fold,0.7361755480176533,0.7462940003513643,0.7331509647299121,0.7297180915672499,0.7119560856402962,0.6974756865928062
s18,(1000+18)*1000+fold,0.7215705584126637,0.7317966587894125,0.7146961739067003,0.7144847094658907,0.735580114527483,0.7275926179314787
s19,(1000+19)*1000+fold,0.7526169894590946,0.7648145387180475,0.7439617755407228,0.7426122123490544,0.7332932122405806,0.7288397170234928
s20,(1000+20)*1000+fold,0.7382372250793303,0.7489628556180566,0.720611299558668,0.715974839263777,0.7202666228982018,0.7144167072143732
s21,(1000+21)*1000+fold,0.7595260239997083,0.7722296712473353,0.7334245176350439,0.7325960841277827,0.7173614910457016,0.7061063379050285
s22,(1000+22)*1000+fold,0.7332476200897254,0.7473283923109643,0.7356284422073897,0.7353494630161297,0.7220438049385418,0.7188401411036333
s23,(1000+23)*1000+fold,0.7392940511361565,0.7581216247520596,0.7261480103585367,0.7292901064518172,0.7278878068351753,0.719467276472804
