cohort,prep,fold,method,ba,f1
UCI-489,standard,1,E-RBF,0.875,0.873015873015873
UCI-489,standard,1,fused w=0.5,0.875,0.873015873015873
UCI-489,standard,1,PLS2 E-RBF,0.875,0.873015873015873
UCI-489,standard,1,PLS2 mean-LDA,0.8125,0.805668016194332
UCI-489,standard,1,PLS2 MMD,0.875,0.873015873015873
UCI-489,standard,1,PLS2 record->mean,0.8125,0.805668016194332
UCI-489,standard,1,PLS4 E-RBF,0.875,0.873015873015873
UCI-489,standard,1,PLS4 mean-LDA,0.8125,0.805668016194332
UCI-489,standard,1,PLS4 G-only,0.6875,0.6761133603238867
UCI-489,standard,1,PLS4 fused w=0.3,0.875,0.873015873015873
UCI-489,standard,1,PLS4 fused w=0.5,0.8125,0.805668016194332
UCI-489,standard,1,PLS4 fused w=0.7,0.8125,0.805668016194332
UCI-489,standard,1,PLS4 MMD,0.875,0.873015873015873
UCI-489,standard,1,PLS4 record->mean,0.8125,0.805668016194332
UCI-489,standard,1,"PLS4 MKL(E,G,MMD)",0.875,0.873015873015873
UCI-489,standard,1,PLS8 E-RBF,0.875,0.873015873015873
UCI-489,standard,1,PLS8 mean-LDA,0.6875,0.6536796536796536
UCI-489,standard,1,PLS8 G-only,0.625,0.625
UCI-489,standard,1,PLS8 fused w=0.3,0.875,0.873015873015873
UCI-489,standard,1,PLS8 fused w=0.5,0.875,0.873015873015873
UCI-489,standard,1,PLS8 fused w=0.7,0.875,0.873015873015873
UCI-489,standard,1,PLS8 MMD,0.875,0.873015873015873
UCI-489,standard,1,PLS8 record->mean,0.8125,0.805668016194332
UCI-489,standard,1,"PLS8 MKL(E,G,MMD)",0.875,0.873015873015873
UCI-489,standard,1,PLS16 E-RBF,0.875,0.873015873015873
UCI-489,standard,1,PLS16 mean-LDA,0.75,0.7333333333333334
UCI-489,standard,1,PLS16 G-only,0.6875,0.6761133603238867
UCI-489,standard,1,PLS16 fused w=0.3,0.875,0.873015873015873
UCI-489,standard,1,PLS16 fused w=0.5,0.875,0.873015873015873
UCI-489,standard,1,PLS16 fused w=0.7,0.8125,0.805668016194332
UCI-489,standard,1,PLS16 MMD,0.875,0.873015873015873
UCI-489,standard,1,PLS16 record->mean,0.8125,0.805668016194332
UCI-489,standard,1,"PLS16 MKL(E,G,MMD)",0.875,0.873015873015873
UCI-489,standard,1,PLS32 E-RBF,0.875,0.873015873015873
UCI-489,standard,1,PLS32 mean-LDA,0.6875,0.6536796536796536
