study,cohort,index,fused/s_ba,E-RBF/s_ba,record/s_ba,fused/q_ba,record/q_ba,V2 q=8_ba,V2 q=16_ba,V2 q=32_ba,V2 ens_ba,"U1: V2{8,16,32}+record/q_ba","U2: V2{8,16,32}+fused/q+record/q_ba",U3: V2ens+record/q (equal)_ba,"U4: V2{8,16,32}+fused/q_ba",U5: fused/q+record/q_ba,"U6: V2{8,16,32}+record/s_ba",U7: fused/s+record/s_ba,fused/s_f1,E-RBF/s_f1,record/s_f1,fused/q_f1,record/q_f1,V2 q=8_f1,V2 q=16_f1,V2 q=32_f1,V2 ens_f1,"U1: V2{8,16,32}+record/q_f1","U2: V2{8,16,32}+fused/q+record/q_f1",U3: V2ens+record/q (equal)_f1,"U4: V2{8,16,32}+fused/q_f1",U5: fused/q+record/q_f1,"U6: V2{8,16,32}+record/s_f1",U7: fused/s+record/s_f1
seed,PD-252,2,0.7436426304847357,0.7567148119779699,0.7608837582521794,0.7710909289856658,0.7889274902432797,0.8091175183280447,0.81381077433709,0.7977851333114492,0.8163110478899952,0.7925219754167123,0.782126965021702,0.7714584017215597,0.8107405988984937,0.7814376117007696,0.793163001057738,0.7619779698727067,0.7586357016255201,0.7532589946800472,0.7396275435098965,0.7696894913128718,0.7705251015930701,0.8042418520107308,0.8123824002084872,0.7990679502870732,0.8105297284536569,0.790863435503611,0.7815865304286357,0.7657565612087225,0.8143913399775513,0.7703663236605902,0.792736056277058,0.7596833341850688
seed,PD-252,1,0.7410110515373672,0.7497346536820221,0.7608837582521794,0.7760805339752708,0.7889274902432797,0.8091175183280447,0.81381077433709,0.7977851333114492,0.8163110478899952,0.7925219754167123,0.7847585439690703,0.7714584017215597,0.7927244045665098,0.7891299193930773,0.793163001057738,0.769812525075683,0.754544988277611,0.7449862086284519,0.7396275435098965,0.7726456557042243,0.7705251015930701,0.8042418520107308,0.8123824002084872,0.7990679502870732,0.8105297284536569,0.790863435503611,0.7858807319160126,0.7657565612087225,0.7980910616320632,0.7765551572020731,0.792736056277058,0.7670731251799368
seed,PD-252,3,0.7305449173870227,0.7362694678484153,0.7608837582521794,0.763766094029252,0.7889274902432797,0.8091175183280447,0.81381077433709,0.7977851333114492,0.8163110478899952,0.7925219754167123,0.7873901229164388,0.7714584017215597,0.7977851333114492,0.7711137250610934,0.793163001057738,0.7567148119779699,0.7416571638136488,0.7360435996583824,0.7396275435098965,0.7590752889485027,0.7705251015930701,0.8042418520107308,0.8123824002084872,0.7990679502870732,0.8105297284536569,0.790863435503611,0.7898865468486012,0.7657565612087225,0.7991634519235764,0.7605731244463383,0.792736056277058,0.7515679313328238
seed,PD-252,0,0.7465705584126636,0.7409855199328883,0.7608837582521794,0.7710198052303315,0.7889274902432797,0.8091175183280447,0.81381077433709,0.7977851333114492,0.8163110478899952,0.7925219754167123,0.7847585439690703,0.7714584017215597,0.8054774410037568,0.7763768829558303,0.793163001057738,0.7644071196702776,0.756381020034478,0.7363088996236555,0.7396275435098965,0.7697907839797872,0.7705251015930701,0.8042418520107308,0.8123824002084872,0.7990679502870732,0.8105297284536569,0.790863435503611,0.7858807319160126,0.7657565612087225,0.8057666863336352,0.7686028140549753,0.792736056277058,0.7583667991316917
seed,PD-252,4,0.757239121712806,0.7359959149432834,0.7608837582521794,0.7736513841776999,0.7889274902432797,0.8091175183280447,0.81381077433709,0.7977851333114492,0.8163110478899952,0.7925219754167123,0.7847585439690703,0.7714584017215597,0.7977851333114492,0.773745304008462,0.793163001057738,0.7567148119779699,0.7731347876275413,0.7310838751954135,0.7396275435098965,0.7739954214475826,0.7705251015930701,0.8042418520107308,0.8123824002084872,0.7990679502870732,0.8105297284536569,0.790863435503611,0.7858807319160126,0.7657565612087225,0.7991634519235764,0.7645042459564072,0.792736056277058,0.7515679313328238
seed,PD-252,5,0.7279133384396542,0.7173988766094029,0.7608837582521794,0.7582667687930845,0.7889274902432797,0.8091175183280447,0.81381077433709,0.7977851333114492,0.8163110478899952,0.7925219754167123,0.7847585439690703,0.7714584017215597,0.7977851333114492,0.7713161542108911,0.793163001057738,0.759275267170004,0.7369306914234451,0.7173701383846312,0.7396275435098965,0.7606977191498804,0.7705251015930701,0.8042418520107308,0.8123824002084872,0.7990679502870732,0.8105297284536569,0.790863435503611,0.7858807319160126,0.7657565612087225,0.7991634519235764,0.7662080430271834,0.792736056277058,0.755468189764325
seed,PD-252,6,0.72784221468432,0.7149925228872598,0.7608837582521794,0.7629116971222235,0.7889274902432797,0.8091175183280447,0.81381077433709,0.7977851333114492,0.8163110478899952,0.7925219754167123,0.7873901229164388,0.7714584017215597,0.7977851333114492,0.7686845752635225,0.793163001057738,0.7412590728380202,0.736622244354867,0.7097546983880536,0.7396275435098965,0.7592748313333999,0.7705251015930701,0.8042418520107308,0.8123824002084872,0.7990679502870732,0.8105297284536569,0.790863435503611,0.7898865468486012,0.7657565612087225,0.7991634519235764,0.7621702562525545,0.792736056277058,0.7359535606482778
seed,PD-252,7,0.7485611117190065,0.7070977860451546,0.7608837582521794,0.7556351898457162,0.7889274902432797,0.8091175183280447,0.81381077433709,0.7977851333114492,0.8163110478899952,0.7925219754167123,0.7847585439690703,0.7714584017215597,0.7977851333114492,0.7737453040084619,0.793163001057738,0.7566436882226355,0.7608045778120601,0.7000735375735376,0.7396275435098965,0.7562147722721966,0.7705251015930701,0.8042418520107308,0.8123824002084872,0.7990679502870732,0.8105297284536569,0.790863435503611,0.785592345361224,0.7657565612087225,0.7991634519235764,0.7640227821050803,0.792736056277058,0.7513919200969106
seed,PD-252,8,0.7464994346573295,0.7197569026516394,0.7608837582521794,0.7478717583980742,0.7889274902432797,0.8091175183280447,0.81381077433709,0.7977851333114492,0.8163110478899952,0.7925219754167123,0.7847585439690703,0.7714584017215597,0.7977851333114492,0.773745304008462,0.793163001057738,0.7590728380202064,0.7563434672025799,0.7185913097084293,0.7396275435098965,0.7497313653442309,0.7705251015930701,0.8042418520107308,0.8123824002084872,0.7990679502870732,0.8105297284536569,0.790863435503611,0.7858807319160126,0.7657565612087225,0.7991634519235764,0.7646109112209671,0.792736056277058,0.7508291644483596
seed,PD-252,9,0.722852609694715,0.7104898420687895,0.7608837582521794,0.7529324871430133,0.7889274902432797,0.8091175183280447,0.81381077433709,0.7977851333114492,0.8163110478899952,0.7925219754167123,0.7847585439690703,0.7714584017215597,0.803048291206186,0.7634214173687857,0.793163001057738,0.75671481197797,0.733420591753925,0.7116503797111026,0.7396275435098965,0.752990144192472,0.7705251015930701,0.8042418520107308,0.8123824002084872,0.7990679502870732,0.8105297284536569,0.790863435503611,0.7858807319160126,0.7657565612087225,0.8077881055674926,0.7541405666439175,0.792736056277058,0.751744448509341
seed,PD-252,10,0.7409399277820331,0.7409855199328883,0.7608837582521794,0.7683882262829631,0.7889274902432797,0.8091175183280447,0.81381077433709,0.7977851333114492,0.8163110478899952,0.7925219754167123,0.7847585439690703,0.7714584017215597,0.8054774410037568,0.7711137250610934,0.793163001057738,0.7567148119779699,0.7531455899089838,0.7351818119564066,0.7396275435098965,0.7658596624697185,0.7705251015930701,0.8042418520107308,0.8123824002084872,0.7990679502870732,0.8105297284536569,0.790863435503611,0.7858807319160126,0.7657565612087225,0.8057666863336352,0.7605731244463383,0.792736056277058,0.7515679313328238
seed,PD-252,11,0.7333187438450597,0.7362694678484152,0.7608837582521794,0.7660302002407267,0.7889274902432797,0.8091175183280447,0.81381077433709,0.7977851333114492,0.8163110478899952,0.7925219754167123,0.7873901229164388,0.7714584017215597,0.7977851333114492,0.7711137250610934,0.793163001057738,0.7516540832330306,0.7482122790341466,0.7354187270853938,0.7396275435098965,0.7674075707018373,0.7705251015930701,0.8042418520107308,0.8123824002084872,0.7990679502870732,0.8105297284536569,0.790863435503611,0.7898865468486012,0.7657565612087225,0.7991634519235764,0.7605731244463383,0.792736056277058,0.7481005653654579
seed,PD-252,12,0.7224851369588212,0.7331281686544845,0.7608837582521794,0.7452401794507056,0.7889274902432797,0.8091175183280447,0.81381077433709,0.7977851333114492,0.8163110478899952,0.7925219754167123,0.7847585439690703,0.7714584017215597,0.8004167122588175,0.7763768829558303,0.793163001057738,0.7619779698727067,0.7373557985471895,0.7386075358031832,0.7396275435098965,0.7454972678704818,0.7705251015930701,0.8042418520107308,0.8123824002084872,0.7990679502870732,0.8105297284536569,0.790863435503611,0.7858807319160126,0.7657565612087225,0.8033621517744501,0.7686028140549753,0.792736056277058,0.7595192771817163
