seed_index,with_gsmote_ba,without_gsmote_ba,with_gsmote_f1,without_gsmote_f1
0,0.8011288616551774,0.8163110478899952,0.805302649549789,0.8105297284536569
1,0.8064631433052487,0.8163110478899952,0.814127204741433,0.8105297284536569
2,0.8167870299449247,0.8163110478899952,0.8239589516183898,0.8105297284536569
3,0.7908049750155014,0.8163110478899952,0.7946237082379364,0.8105297284536569
4,0.7934365539628697,0.8163110478899952,0.7995764975764976,0.8105297284536569
5,0.8114527482948535,0.8163110478899952,0.8149723410907775,0.8105297284536569
6,0.7927955283218442,0.8163110478899952,0.7979407162885422,0.8105297284536569
7,0.7961392566655725,0.8163110478899952,0.8031900129081718,0.8105297284536569
8,0.8007613889192837,0.8163110478899952,0.8114588036140334,0.8105297284536569
9,0.7903663785242733,0.8163110478899952,0.8004296154109323,0.8105297284536569
10,0.7927955283218442,0.8163110478899952,0.7982082946293472,0.8105297284536569
11,0.7877347995769048,0.8163110478899952,0.7960036616178898,0.8105297284536569
12,0.8063920195499141,0.8163110478899952,0.8137944277944278,0.8105297284536569
13,0.7901639493744756,0.8163110478899952,0.7944203204203204,0.8105297284536569
14,0.795498231024547,0.8163110478899952,0.8032448756119642,0.8105297284536569
15,0.7927955283218442,0.8163110478899952,0.7982082946293472,0.8105297284536569
16,0.7960681329102381,0.8163110478899952,0.8031970251970252,0.8105297284536569
17,0.8063920195499144,0.8163110478899952,0.8136323724584594,0.8105297284536569
18,0.8007613889192837,0.8163110478899952,0.8109913237255009,0.8105297284536569
19,0.7927955283218442,0.8163110478899952,0.7968131036844004,0.8105297284536569
20,0.8031194149615202,0.8163110478899952,0.8074105062818031,0.8105297284536569
21,0.782471641682168,0.8163110478899952,0.7879214859214859,0.8105297284536569
22,0.7957006601743444,0.8163110478899952,0.8072589130575626,0.8105297284536569
23,0.7935076777182042,0.8163110478899952,0.7988958114207948,0.8105297284536569
