cohort,normalization,gate,partition_seed,method,balanced_accuracy,balanced_accuracy_se,macro_f1,macro_f1_se
UCI-489,standard,auto,3,PLS_DA,0.8,0.036443449342783124,0.7980205415499533,0.03648801995654289
UCI-489,standard,auto,3,Balanced_LinearSVM,0.7625,0.06059599821770411,0.7573034206935135,0.06286470874271603
UCI-489,standard,auto,4,Euclidean_RBF_GSMOTE,0.85,0.046770717334674264,0.8488095238095237,0.04714713250882268
UCI-489,standard,auto,4,Adaptive_Subspace_Fusion,0.8375,0.0375,0.8362605042016806,0.03783759865273961
UCI-489,standard,auto,4,Fused_Grassmann_GSMOTE,0.8375,0.0375,0.8362605042016806,0.03783759865273961
UCI-489,standard,auto,4,PLS_DA,0.8125,0.02795084971874737,0.8103399524452156,0.02842545141340289
UCI-489,standard,auto,4,Balanced_RandomForest,0.8,0.036443449342783124,0.797594854406,0.036809823646451904
UCI-489,standard,auto,4,Balanced_LogReg,0.8,0.023385358667337132,0.7951820728291317,0.025346685277343534
UCI-489,standard,auto,4,SMOTE_LogReg,0.8,0.023385358667337132,0.7951820728291317,0.025346685277343534
UCI-489,standard,auto,4,Balanced_LinearSVM,0.775,0.0318688719599549,0.7692422799079146,0.034150816617517704
UCI-489,rank,auto,3,Euclidean_RBF_GSMOTE,0.875,0.02795084971874737,0.8733885051996507,0.0287610739189366
UCI-489,rank,auto,3,PLS_DA,0.8375,0.024999999999999994,0.835643407160435,0.025430294004706054
UCI-489,rank,auto,3,Adaptive_Subspace_Fusion,0.825,0.023385358667337132,0.8234865444153371,0.023624612027723854
UCI-489,rank,auto,3,Fused_Grassmann_GSMOTE,0.825,0.023385358667337132,0.8234865444153371,0.023624612027723854
UCI-489,rank,auto,3,Balanced_LogReg,0.8,0.012499999999999999,0.7948590934349449,0.015426683318142825
UCI-489,rank,auto,3,SMOTE_LogReg,0.8,0.012499999999999999,0.7948590934349449,0.015426683318142825
UCI-489,rank,auto,3,Balanced_RandomForest,0.7875,0.04238956239453292,0.7844336898052069,0.04368327057463945
UCI-489,rank,auto,3,Balanced_LinearSVM,0.7375,0.06373774391990981,0.7289149154938628,0.0679791739448064
UCI-489,rank,auto,4,Balanced_LogReg,0.85,0.024999999999999998,0.8495098039215685,0.025122728358996423
UCI-489,rank,auto,4,SMOTE_LogReg,0.85,0.024999999999999998,0.8495098039215685,0.025122728358996423
UCI-489,rank,auto,4,PLS_DA,0.8375,0.0318688719599549,0.8363632119514472,0.03243599947628686
UCI-489,rank,auto,4,Euclidean_RBF_GSMOTE,0.8375,0.024999999999999998,0.8353399524452156,0.02507508787419188
UCI-489,rank,auto,4,Balanced_LinearSVM,0.825,0.023385358667337132,0.8230897190185116,0.02341065655057381
UCI-489,rank,auto,4,Adaptive_Subspace_Fusion,0.8125,0.02795084971874737,0.8111624649859944,0.028181816238784685
UCI-489,rank,auto,4,Fused_Grassmann_GSMOTE,0.8125,0.02795084971874737,0.8111624649859944,0.028181816238784685
UCI-489,rank,auto,4,Balanced_RandomForest,0.8,0.036443449342783124,0.797594854406,0.036809823646451904
UCI-489,standard,auto,6,Adaptive_Subspace_Fusion,0.825,0.036443449342783124,0.82025125029769,0.038334001402925394
UCI-489,standard,auto,6,Fused_Grassmann_GSMOTE,0.825,0.036443449342783124,0.82025125029769,0.038334001402925394
UCI-489,standard,auto,6,Euclidean_RBF_GSMOTE,0.825,0.036443449342783124,0.82025125029769,0.038334001402925394
UCI-489,standard,auto,6,Balanced_LogReg,0.8,0.036443449342783124,0.7998039215686275,0.03638483487870086
