cohort,partition_seed,members,method,balanced_accuracy,balanced_accuracy_se,macro_f1,macro_f1_se
UCI-489,4,"4,8,16,32",Balanced_LinearSVM,0.825,0.023385358667337132,0.8230897190185116,0.02341065655057381
UCI-489,4,"4,8,16,32",Fused_Grassmann_GSMOTE,0.8125,0.02795084971874737,0.8111624649859944,0.028181816238784685
UCI-489,4,"8,16,32",Adaptive_Subspace_Fusion,0.8375,0.015309310892394864,0.8362651727357611,0.015003410562705554
UCI-489,5,"4,8,16,32",Adaptive_Subspace_Fusion,0.8875,0.05376453291901641,0.8871568627450982,0.05396976455712405
UCI-489,5,"4,8,16,32",Subspace_q8,0.8875,0.05376453291901641,0.8871568627450982,0.05396976455712405
UCI-489,5,"4,8,16,32",Subspace_q16,0.875,0.048412291827592706,0.8746078431372549,0.04860224283362122
UCI-489,5,"4,8,16,32",Subspace_q4,0.8625,0.049999999999999996,0.8618580765639589,0.05019098357854994
UCI-489,5,"4,8,16,32",Subspace_q32,0.8625,0.04592793267718459,0.8617600373482727,0.04609561258451681
UCI-489,5,"4,8,16,32",Fused_Grassmann_GSMOTE,0.8625,0.0637377439199098,0.8608636788048554,0.0648139849911141
UCI-489,5,"4,8,16,32",Balanced_LogReg,0.85,0.04238956239453292,0.8491083099906629,0.042811948162992865
UCI-489,5,"4,8,16,32",SMOTE_LogReg,0.85,0.04238956239453292,0.8491083099906629,0.042811948162992865
UCI-489,5,"4,8,16,32",Balanced_LinearSVM,0.85,0.0318688719599549,0.8490102707749767,0.03250373489767144
UCI-489,5,"4,8,16,32",Euclidean_RBF_GSMOTE,0.85,0.06123724356957944,0.8484126984126984,0.06229210826686283
UCI-489,5,"8,16,32",Adaptive_Subspace_Fusion,0.875,0.048412291827592706,0.8746078431372549,0.04860224283362122
UCI-489,6,"4,8,16,32",Fused_Grassmann_GSMOTE,0.8625,0.036443449342783124,0.8610355640231802,0.036883764893222086
UCI-489,6,"4,8,16,32",Subspace_q4,0.8375,0.0318688719599549,0.8359375248074938,0.03215347133506413
UCI-489,6,"4,8,16,32",Subspace_q8,0.8375,0.0318688719599549,0.8359375248074938,0.03215347133506413
UCI-489,6,"4,8,16,32",Euclidean_RBF_GSMOTE,0.8375,0.0318688719599549,0.8359375248074938,0.03215347133506413
